"((1, 8, 0), (6, 6, 0))","[1465949, array([ 0.05224711,  0.68611535,  1.7420561 , -1.09165701, -1.38876155])]"
"((1, 8, 0), (9, 4, 0))","[66999, array([-0.0169569 ,  1.11553501,  1.90771356, -1.37667509, -1.62961659])]"
"((1, 8, 0), (8, 5, 0))","[384052, array([ 0.02916659,  0.91715239,  1.8850283 , -1.25074476, -1.58060252])]"
"((1, 8, 0), (9, 5, 0))","[78214, array([-0.01503721,  0.90023585,  2.0214817 , -1.27807152, -1.62860881])]"
"((1, 8, 0), (7, 3, 0))","[540248, array([ 0.02831669,  1.35492316,  1.55536775, -1.42263616, -1.51597145])]"
"((1, 8, 0), (4, 0, 0))","[78388, array([-0.01089671,  2.07863221,  0.87149053, -1.65003495, -1.28919108])]"
"((1, 8, 0), (2, 1, 0))","[330512, array([ 0.02375598,  2.12111162,  0.4435332 , -1.5801853 , -1.0082155 ])]"
"((1, 8, 0), (2, 0, 0))","[66028, array([-0.05396829,  2.29990515,  0.42381133, -1.61619741, -1.05355079])]"
"((1, 8, 0), (6, 0, 0))","[49239, array([ 0.05005938,  1.77860747,  1.2772815 , -1.66121532, -1.44473303])]"
"((1, 8, 0), (1, 0, 0))","[39613, array([-0.02406155,  2.43940952,  0.13851987, -1.60648829, -0.94737955])]"
"((1, 8, 0), (6, 9, 0))","[165290, array([-0.02089201, -0.02799708,  1.94048458, -0.5028579 , -1.38873759])]"
"((1, 8, 0), (9, 6, 0))","[78448, array([-0.01791946,  0.60984456,  2.20079944, -1.16445896, -1.62826559])]"
"((1, 8, 0), (5, 0, 0))","[67553, array([ 0.01723188,  1.92052302,  1.08332672, -1.61795384, -1.40312778])]"
"((1, 8, 0), (8, 0, 1))","[18091, array([ 0.01632609,  1.66636072,  1.525529  , -1.62372343, -1.58449238])]"
"((1, 8, 0), (7, 2, 0))","[351796, array([ 0.02102066,  1.48269286,  1.50701947, -1.50887561, -1.50185738])]"
"((1, 8, 0), (7, 1, 0))","[152689, array([ 0.0442463 ,  1.61711101,  1.44488788, -1.594747  , -1.51149819])]"
"((1, 8, 0), (8, 1, 1))","[89582, array([ 0.03332136,  1.54302292,  1.56861406, -1.59016918, -1.55478916])]"
